vertex,score
217,2.785925294854246E-4
218,1.3348308451533526E-4
219,1.9240217989497922E-4
220,9.361282785098866E-5
221,6.085180646871529E-4
222,2.4191089720993202E-4
223,1.0368627524288519E-4
224,1.8955268519823664E-4
225,2.8856233135077746E-4
226,1.7920997762761395E-4
227,3.4399450850143776E-4
228,1.1641775702568496E-4
229,1.8047510791888459E-4
230,2.630718019474745E-4
231,1.2806606020188317E-4
232,3.956057574223685E-4
233,2.743688518712549E-4
234,5.442285222966063E-4
235,9.380518607741881E-5
236,1.7551115232762967E-4
237,4.88790723563323E-4
238,4.1288364253364246E-4
239,1.033808795171688E-4
240,4.995739118882964E-4
241,1.6782224085928134E-4
242,5.039666373707442E-4
243,1.6887516044390894E-4
244,1.1875946983369896E-4
245,3.378205056779581E-4
246,1.62335789492649E-4
247,4.6078845427636534E-4
248,4.406069653792977E-4
249,4.387578443768377E-4
250,1.6586446497390226E-4
251,1.5181864433254892E-4
252,8.322988113243406E-5
253,2.797331477909165E-4
254,2.7863512242492453E-4
255,3.578129565569472E-4
256,4.130244557929594E-4
257,2.596813029751963E-4
258,1.7793268576184906E-4
259,1.4601376711928505E-4
260,1.7795561173106016E-4
261,2.3273662697249686E-4
262,2.0994784407837055E-4
263,1.827770402491905E-4
264,1.6835699930734096E-4
265,3.9456206594557175E-4
266,1.5824595298414635E-4
267,3.5212252539958355E-4
268,1.6386023287489764E-4
269,2.733255541649164E-4
270,3.227517524694703E-4
271,3.7184934718718736E-4
272,1.1113534527118927E-4
273,2.4521464677565056E-4
274,2.47765818514437E-4
275,1.1168533236112976E-4
276,1.54407865522525E-4
277,2.45727427748373E-4
278,2.543476004815589E-4
279,1.761288403901436E-4
280,1.891696698171078E-4
281,2.3994016529981784E-4
282,1.9683318076355592E-4
283,2.355388373860857E-4
284,2.3707300759007356E-4
285,9.944294202143928E-5
286,8.64591799463815E-5
287,3.003761626358598E-4
288,2.730765920524068E-4
289,1.75897095919885E-4
290,2.2845329509313698E-4
291,1.8856163207951564E-4
292,1.8606741710115114E-4
293,2.5306061946321856E-4
294,3.1093717990649287E-4
295,3.8132416950237074E-4
296,3.431871641514804E-4
297,3.7500000000000003E-5
298,2.457117122772388E-4
299,1.9770567914168262E-4
300,4.513284625772025E-4
301,2.561999921672482E-4
302,2.510961493951176E-4
303,5.210410853333214E-4
304,2.87133307953747E-4
305,2.4226218531660145E-4
306,1.5283955265722255E-4
307,1.8649276682718575E-4
308,1.0455114200994525E-4
309,1.4887479691065353E-4
310,3.206823806889671E-4
311,3.559622900014303E-4
312,2.5137217783125713E-4
313,4.5711597061060395E-4
314,2.2366565948528155E-4
315,2.0361440458595075E-4
316,3.737210265952746E-4
317,6.689088229097676E-5
318,2.668032425189674E-4
319,2.7983093236759026E-4
320,6.590976252546234E-5
321,2.7104931171790777E-4
322,2.4068859477986427E-4
323,1.3294412410185856E-4
324,1.9710475440653467E-4
325,3.769754159481091E-4
326,2.2076770537867878E-4
327,2.71301255063651E-4
328,1.7632399776222103E-4
329,4.0439613025052847E-4
330,3.568237150583472E-4
331,2.7209224708442E-4
332,1.2759406745283452E-4
333,4.3943701171985115E-4
334,2.7174687942805773E-4
335,2.223792860847268E-4
336,2.4173340592167523E-4
337,1.5738674750560554E-4
338,2.521083832174111E-4
339,2.011591462211957E-4
340,1.9188762452338105E-4
341,4.866782359765506E-4
342,1.6456116972526116E-4
343,2.1896003454868334E-4
344,3.376813695055907E-4
345,2.558749859598351E-4
346,1.1441464031773921E-4
347,4.735097063948441E-4
348,1.0908818153875297E-4
349,1.7598101519015303E-4
350,2.0032669083843173E-4
351,2.954835337146961E-4
352,5.151634580912547E-4
353,1.8099973260106954E-4
354,3.797930218060738E-4
355,5.343883194701923E-4
356,2.1626678606509654E-4
357,9.634301778836267E-5
358,2.4142416521430492E-4
359,3.442191159100301E-4
360,4.0594821559902756E-4
361,1.7911156360412287E-4
362,1.4010412409978928E-4
363,2.9346910823588594E-4
364,1.7964903922711682E-4
365,5.261763242769471E-4
366,1.4599139864975003E-4
367,4.530817427286787E-4
368,1.662278777974626E-4
369,2.694858114141376E-4
370,1.4485715681935652E-4
371,1.1162875187438673E-4
372,3.4093318899051955E-4
373,2.7232226378937985E-4
374,3.644955307701177E-4
375,3.4679211704241505E-4
376,1.4712837638088545E-4
377,1.4797280097155575E-4
378,1.4771007506966674E-4
379,2.188056825268693E-4
380,2.595643835974155E-4
381,3.6385214453785706E-4
382,1.3550076740887949E-4
383,9.437424832534178E-5
384,3.0550962376341747E-4
385,2.5529605323061454E-4
386,6.231667835505045E-5
387,1.2983857564056415E-4
388,3.1446054572888203E-4
389,1.7919395301448115E-4
390,2.968933076877333E-4
391,3.2312300508152816E-4
392,2.0196738625127478E-4
393,2.7029659627135396E-4
394,5.55664216588568E-5
395,2.990928881660802E-4
396,5.008089394485079E-4
397,3.8451435358101757E-4
398,1.2670579337069798E-4
399,4.290792738348112E-4
400,5.8892240697420956E-5
401,1.9689607446746015E-4
402,2.1547224814534138E-4
403,1.5932190499307812E-4
404,4.1484375000000004E-5
405,2.8063051808489527E-4
406,1.405445286073881E-4
407,6.880341601575667E-4
408,1.6710066570866527E-4
409,8.761792381069076E-5
410,4.511798888045016E-4
411,3.0895084832996455E-4
412,1.7434591350424692E-4
413,3.803625385658149E-4
414,1.434486592276419E-4
415,1.2468234164523878E-4
416,1.7141094656612609E-4
417,1.48346848526237E-4
418,2.0868058131366034E-4
419,1.6524039903203933E-4
420,3.373050920089349E-4
421,1.0520609635098213E-4
422,1.6386839538146353E-4
423,4.679652683712617E-4
424,1.6049197581778017E-4
425,1.293818227615692E-4
426,2.479382876232562E-4
427,2.5792265727967893E-4
428,1.4779102594737655E-4
429,2.0364396330968667E-4
430,2.2995206748905933E-4
431,3.62001798509091E-4
432,2.1483383978004015E-4
433,1.4316110316908544E-4
434,3.9852426808748107E-4
435,2.924675177095779E-4
436,8.512027298046172E-5
437,2.072820947368709E-4
438,2.2173565897960632E-4
439,4.087106438440275E-4
440,2.2416180041080682E-4
441,2.782020498215684E-4
442,2.9717124303141795E-4
443,2.858067519593154E-4
444,2.2396056282597592E-4
445,2.2717052819478778E-4
446,3.343388624158507E-4
447,4.4460820750413105E-4
448,2.8390712281285913E-4
449,3.7164794963556155E-4
450,5.098092349519024E-4
451,2.93558595227666E-4
